agency_name,date,stock_price
HYBE,2020-10-15,255420
HYBE,2020-10-16,198495
HYBE,2020-10-19,187110
HYBE,2020-10-20,180675
HYBE,2020-10-21,177210
HYBE,2020-10-22,178200
HYBE,2020-10-23,170775
HYBE,2020-10-26,154440
HYBE,2020-10-27,160875
HYBE,2020-10-28,156915
HYBE,2020-10-29,155430
HYBE,2020-10-30,140580
HYBE,2020-11-02,142065
HYBE,2020-11-03,150480
HYBE,2020-11-04,147510
HYBE,2020-11-05,162360
HYBE,2020-11-06,160380
HYBE,2020-11-09,161370
HYBE,2020-11-10,166320
HYBE,2020-11-11,162360
HYBE,2020-11-12,155925
HYBE,2020-11-13,158400
HYBE,2020-11-16,169785
HYBE,2020-11-17,177705
HYBE,2020-11-18,179685
HYBE,2020-11-19,178200
HYBE,2020-11-20,182655
HYBE,2020-11-23,178200
HYBE,2020-11-24,179190
HYBE,2020-11-25,172260
HYBE,2020-11-26,174240
HYBE,2020-11-27,176220
HYBE,2020-11-30,177705
HYBE,2020-12-01,179190
HYBE,2020-12-02,180180
HYBE,2020-12-03,187605
HYBE,2020-12-04,185625
HYBE,2020-12-07,178695
HYBE,2020-12-08,180180
HYBE,2020-12-09,178200
HYBE,2020-12-10,179685
HYBE,2020-12-11,178695
HYBE,2020-12-14,173745
HYBE,2020-12-15,170280
HYBE,2020-12-16,171270
HYBE,2020-12-17,159885
HYBE,2020-12-18,160380
HYBE,2020-12-21,156915
HYBE,2020-12-22,152955
HYBE,2020-12-23,151470
HYBE,2020-12-24,156420
HYBE,2020-12-28,154935
HYBE,2020-12-29,156915
HYBE,2020-12-30,158400
HYBE,2021-01-04,156420
HYBE,2021-01-05,156915
HYBE,2021-01-06,156915
HYBE,2021-01-07,155430
HYBE,2021-01-08,158895
HYBE,2021-01-11,152955
HYBE,2021-01-12,151965
HYBE,2021-01-13,166815
HYBE,2021-01-14,164340
HYBE,2021-01-15,155430
HYBE,2021-01-18,163845
HYBE,2021-01-19,171765
HYBE,2021-01-20,174240
HYBE,2021-01-21,171270
HYBE,2021-01-22,190575
HYBE,2021-01-25,201465
HYBE,2021-01-26,208395
HYBE,2021-01-27,205425
HYBE,2021-01-28,217800
HYBE,2021-01-29,202455
HYBE,2021-02-01,215325
HYBE,2021-02-02,230175
HYBE,2021-02-03,230175
HYBE,2021-02-04,239085
HYBE,2021-02-05,240570
HYBE,2021-02-08,243045
HYBE,2021-02-09,228690
HYBE,2021-02-10,229185
HYBE,2021-02-15,224235
HYBE,2021-02-16,245520
HYBE,2021-02-17,246510
HYBE,2021-02-18,239085
HYBE,2021-02-19,232155
HYBE,2021-02-22,224730
HYBE,2021-02-23,226215
HYBE,2021-02-24,208890
HYBE,2021-02-25,209880
HYBE,2021-02-26,204435
HYBE,2021-03-02,204930
HYBE,2021-03-03,210375
HYBE,2021-03-04,210870
HYBE,2021-03-05,205425
HYBE,2021-03-08,205920
HYBE,2021-03-09,198000
HYBE,2021-03-10,191070
HYBE,2021-03-11,209385
HYBE,2021-03-12,225720
HYBE,2021-03-15,215820
HYBE,2021-03-16,216810
HYBE,2021-03-17,228690
HYBE,2021-03-18,231660
HYBE,2021-03-19,223740
HYBE,2021-03-22,227700
HYBE,2021-03-23,219780
HYBE,2021-03-24,216810
HYBE,2021-03-25,233145
HYBE,2021-03-26,239580
HYBE,2021-03-29,234135
HYBE,2021-03-30,240075
HYBE,2021-03-31,240570
HYBE,2021-04-01,236610
HYBE,2021-04-02,240570
HYBE,2021-04-05,245520
HYBE,2021-04-06,256410
HYBE,2021-04-07,273240
HYBE,2021-04-08,264330
HYBE,2021-04-09,255420
HYBE,2021-04-12,249975
HYBE,2021-04-13,249975
HYBE,2021-04-14,233145
HYBE,2021-04-15,247500
HYBE,2021-04-16,249000
HYBE,2021-04-19,241500
HYBE,2021-04-20,242000
HYBE,2021-04-21,242000
HYBE,2021-04-22,255000
HYBE,2021-04-23,258500
HYBE,2021-04-26,259000
HYBE,2021-04-27,256000
HYBE,2021-04-28,244000
HYBE,2021-04-29,243500
HYBE,2021-04-30,243000
HYBE,2021-05-03,236500
HYBE,2021-05-04,239500
HYBE,2021-05-06,251000
HYBE,2021-05-07,252500
HYBE,2021-05-10,258500
HYBE,2021-05-11,259000
HYBE,2021-05-12,246000
HYBE,2021-05-13,240500
HYBE,2021-05-14,242500
HYBE,2021-05-17,248500
HYBE,2021-05-18,260500
HYBE,2021-05-20,266000
HYBE,2021-05-21,261500
HYBE,2021-05-24,263500
HYBE,2021-05-25,260500
HYBE,2021-05-26,259000
HYBE,2021-05-27,253000
HYBE,2021-05-28,261000
HYBE,2021-05-31,265000
HYBE,2021-06-01,261000
HYBE,2021-06-02,263500
HYBE,2021-06-03,269500
HYBE,2021-06-04,266000
HYBE,2021-06-07,265500
HYBE,2021-06-08,265000
HYBE,2021-06-09,262000
HYBE,2021-06-10,272500
HYBE,2021-06-11,275500
HYBE,2021-06-14,282000
HYBE,2021-06-15,289000
HYBE,2021-06-16,292000
HYBE,2021-06-17,297000
HYBE,2021-06-18,313000
HYBE,2021-06-21,308000
HYBE,2021-06-22,324500
HYBE,2021-06-23,321500
HYBE,2021-06-24,322000
HYBE,2021-06-25,314000
HYBE,2021-06-28,312000
HYBE,2021-06-29,289000
HYBE,2021-06-30,292500
HYBE,2021-07-01,302000
HYBE,2021-07-02,303000
HYBE,2021-07-05,306500
HYBE,2021-07-06,302000
HYBE,2021-07-07,297500
HYBE,2021-07-08,294000
HYBE,2021-07-09,308000
HYBE,2021-07-12,307000
HYBE,2021-07-13,309000
HYBE,2021-07-14,319000
HYBE,2021-07-15,319500
HYBE,2021-07-16,317500
HYBE,2021-07-19,315000
HYBE,2021-07-20,306000
HYBE,2021-07-21,298500
HYBE,2021-07-22,301500
HYBE,2021-07-23,303000
HYBE,2021-07-26,299000
HYBE,2021-07-27,298500
HYBE,2021-07-28,299000
HYBE,2021-07-29,297000
HYBE,2021-07-30,289500
HYBE,2021-08-02,294500
HYBE,2021-08-03,291500
HYBE,2021-08-04,295500
HYBE,2021-08-05,298500
HYBE,2021-08-06,310000
HYBE,2021-08-09,308000
HYBE,2021-08-10,313500
HYBE,2021-08-11,301000
HYBE,2021-08-12,303500
HYBE,2021-08-13,299000
HYBE,2021-08-17,291500
HYBE,2021-08-18,293000
HYBE,2021-08-19,285000
HYBE,2021-08-20,274000
HYBE,2021-08-23,283500
HYBE,2021-08-24,288500
HYBE,2021-08-25,285500
HYBE,2021-08-26,287000
HYBE,2021-08-27,284500
HYBE,2021-08-30,286000
HYBE,2021-08-31,289500
HYBE,2021-09-01,286000
HYBE,2021-09-02,280500
HYBE,2021-09-03,281000
HYBE,2021-09-06,286500
HYBE,2021-09-07,286000
HYBE,2021-09-08,280000
HYBE,2021-09-09,278000
HYBE,2021-09-10,269500
HYBE,2021-09-13,264000
HYBE,2021-09-14,283500
HYBE,2021-09-15,279500
HYBE,2021-09-16,276500
HYBE,2021-09-17,276500
HYBE,2021-09-23,270500
HYBE,2021-09-24,268000
HYBE,2021-09-27,278000
HYBE,2021-09-28,283500
HYBE,2021-09-29,287000
HYBE,2021-09-30,298500
HYBE,2021-10-01,291500
HYBE,2021-10-05,293000
HYBE,2021-10-06,283000
HYBE,2021-10-07,291500
HYBE,2021-10-08,281000
HYBE,2021-10-12,275500
HYBE,2021-10-13,274500
HYBE,2021-10-14,288500
HYBE,2021-10-15,306500
HYBE,2021-10-18,305000
HYBE,2021-10-19,322000
HYBE,2021-10-20,319500
HYBE,2021-10-21,330500
HYBE,2021-10-22,325000
HYBE,2021-10-25,326000
HYBE,2021-10-26,342000
HYBE,2021-10-27,348500
HYBE,2021-10-28,333500
HYBE,2021-10-29,335000
HYBE,2021-11-01,348500
HYBE,2021-11-02,348000
HYBE,2021-11-03,346500
HYBE,2021-11-04,356500
HYBE,2021-11-05,383500
HYBE,2021-11-08,392500
HYBE,2021-11-09,389000
HYBE,2021-11-10,385000
HYBE,2021-11-11,389000
HYBE,2021-11-12,396500
HYBE,2021-11-15,407000
HYBE,2021-11-16,414000
HYBE,2021-11-17,414000
HYBE,2021-11-18,412500
HYBE,2021-11-19,400500
HYBE,2021-11-22,392500
HYBE,2021-11-23,392500
HYBE,2021-11-24,386000
HYBE,2021-11-25,385500
HYBE,2021-11-26,372000
HYBE,2021-11-29,369000
HYBE,2021-11-30,364500
HYBE,2021-12-01,352500
HYBE,2021-12-02,330000
HYBE,2021-12-03,354500
HYBE,2021-12-06,335000
HYBE,2021-12-07,339500
HYBE,2021-12-08,341000
HYBE,2021-12-09,354500
HYBE,2021-12-10,352000
HYBE,2021-12-13,337500
HYBE,2021-12-14,331500
HYBE,2021-12-15,332500
HYBE,2021-12-16,333000
HYBE,2021-12-17,331000
HYBE,2021-12-20,325000
HYBE,2021-12-21,337000
HYBE,2021-12-22,341000
HYBE,2021-12-23,341000
HYBE,2021-12-24,340500
HYBE,2021-12-27,341000
HYBE,2021-12-28,358000
HYBE,2021-12-29,349500
HYBE,2021-12-30,349000
HYBE,2022-01-03,350500
HYBE,2022-01-04,337500
HYBE,2022-01-05,314000
HYBE,2022-01-06,298500
HYBE,2022-01-07,302500
HYBE,2022-01-10,295500
HYBE,2022-01-11,289000
HYBE,2022-01-12,297000
HYBE,2022-01-13,291500
HYBE,2022-01-14,284000
HYBE,2022-01-17,280000
HYBE,2022-01-18,277500
HYBE,2022-01-19,274500
HYBE,2022-01-20,288000
HYBE,2022-01-21,285000
HYBE,2022-01-24,277000
HYBE,2022-01-25,271000
HYBE,2022-01-26,251500
HYBE,2022-01-27,241500
HYBE,2022-01-28,237000
HYBE,2022-02-03,238000
HYBE,2022-02-04,260000
HYBE,2022-02-07,249500
HYBE,2022-02-08,258500
HYBE,2022-02-09,258000
HYBE,2022-02-10,255000
HYBE,2022-02-11,252000
HYBE,2022-02-14,254000
HYBE,2022-02-15,239000
HYBE,2022-02-16,256500
HYBE,2022-02-17,260000
HYBE,2022-02-18,262500
HYBE,2022-02-21,275500
HYBE,2022-02-22,273500
HYBE,2022-02-23,281500
HYBE,2022-02-24,283000
HYBE,2022-02-25,286500
HYBE,2022-02-28,288500
HYBE,2022-03-02,286500
HYBE,2022-03-03,278500
HYBE,2022-03-04,278000
HYBE,2022-03-07,276500
HYBE,2022-03-08,274000
HYBE,2022-03-10,285000
HYBE,2022-03-11,284000
HYBE,2022-03-14,285000
HYBE,2022-03-15,273000
HYBE,2022-03-16,273000
HYBE,2022-03-17,280000
HYBE,2022-03-18,285500
HYBE,2022-03-21,282000
HYBE,2022-03-22,289000
HYBE,2022-03-23,297500
HYBE,2022-03-24,300000
HYBE,2022-03-25,301000
HYBE,2022-03-28,296000
HYBE,2022-03-29,299000
HYBE,2022-03-30,309500
HYBE,2022-03-31,309500
HYBE,2022-04-01,323000
HYBE,2022-04-04,313500
HYBE,2022-04-05,311500
HYBE,2022-04-06,300000
HYBE,2022-04-07,290000
HYBE,2022-04-08,283500
HYBE,2022-04-11,282000
HYBE,2022-04-12,283500
HYBE,2022-04-13,301500
HYBE,2022-04-14,297000
HYBE,2022-04-15,294000
HYBE,2022-04-18,279500
HYBE,2022-04-19,280000
HYBE,2022-04-20,264000
HYBE,2022-04-21,261000
HYBE,2022-04-22,254500
HYBE,2022-04-25,250500
HYBE,2022-04-26,260500
HYBE,2022-04-27,260500
HYBE,2022-04-28,259000
HYBE,2022-04-29,251500
HYBE,2022-05-02,252500
HYBE,2022-05-03,253500
HYBE,2022-05-04,247000
HYBE,2022-05-06,241000
HYBE,2022-05-09,235500
HYBE,2022-05-10,230500
HYBE,2022-05-11,228000
HYBE,2022-05-12,213000
HYBE,2022-05-13,215000
HYBE,2022-05-16,215500
HYBE,2022-05-17,219000
HYBE,2022-05-18,220000
HYBE,2022-05-19,218500
HYBE,2022-05-20,221000
HYBE,2022-05-23,221000
HYBE,2022-05-24,215500
HYBE,2022-05-25,219500
HYBE,2022-05-26,214500
HYBE,2022-05-27,218500
HYBE,2022-05-30,228000
HYBE,2022-05-31,231000
HYBE,2022-06-02,227000
HYBE,2022-06-03,228000
HYBE,2022-06-07,221500
HYBE,2022-06-08,222000
HYBE,2022-06-09,227500
HYBE,2022-06-10,223500
HYBE,2022-06-13,199000
HYBE,2022-06-14,193000
HYBE,2022-06-15,145000
HYBE,2022-06-16,148000
HYBE,2022-06-17,148500
HYBE,2022-06-20,149500
HYBE,2022-06-21,149500
HYBE,2022-06-22,139500
HYBE,2022-06-23,139500
HYBE,2022-06-24,148000
HYBE,2022-06-27,152000
HYBE,2022-06-28,147000
HYBE,2022-06-29,148500
HYBE,2022-06-30,145500
HYBE,2022-07-01,140000
HYBE,2022-07-04,142000
HYBE,2022-07-05,150000
HYBE,2022-07-06,149500
HYBE,2022-07-07,158500
HYBE,2022-07-08,164500
HYBE,2022-07-11,159500
HYBE,2022-07-12,156000
HYBE,2022-07-13,158500
HYBE,2022-07-14,163500
HYBE,2022-07-15,156500
HYBE,2022-07-18,154500
HYBE,2022-07-19,152500
HYBE,2022-07-20,153000
HYBE,2022-07-21,157000
HYBE,2022-07-22,167000
HYBE,2022-07-25,176500
HYBE,2022-07-26,172000
HYBE,2022-07-27,167500
